run_id,converged,convergence_step,final_step
0,True,,unknown
1,True,,unknown
2,True,,unknown
3,True,,unknown
4,True,,unknown
5,True,,unknown
6,True,,unknown
7,True,,unknown
8,True,,unknown
9,True,,unknown
10,True,4.0,4
11,True,10.0,10
12,True,9.0,9
13,True,4.0,4
14,True,4.0,4
15,True,4.0,4
16,True,8.0,8
17,True,4.0,4
18,True,4.0,4
19,True,4.0,4
20,True,14.0,14
21,True,9.0,9
22,True,4.0,4
23,True,4.0,4
24,True,4.0,4
25,True,4.0,4
26,True,4.0,4
27,True,7.0,7
28,True,4.0,4
29,True,4.0,4
30,True,4.0,4
31,True,4.0,4
32,True,4.0,4
33,True,6.0,6
34,True,4.0,4
35,True,6.0,6
36,True,4.0,4
37,True,4.0,4
38,True,4.0,4
39,True,4.0,4
40,True,6.0,6
41,True,4.0,4
42,True,4.0,4
43,True,9.0,9
44,True,4.0,4
45,True,4.0,4
46,True,4.0,4
47,True,4.0,4
48,True,7.0,7
49,True,4.0,4
50,True,4.0,4
51,True,4.0,4
52,True,5.0,5
53,True,4.0,4
54,True,7.0,7
55,True,4.0,4
56,True,5.0,5
57,True,4.0,4
58,True,4.0,4
59,True,4.0,4
60,True,8.0,8
61,True,4.0,4
62,True,4.0,4
63,True,4.0,4
64,True,4.0,4
65,True,7.0,7
66,True,4.0,4
67,True,4.0,4
68,True,4.0,4
69,True,6.0,6
70,True,4.0,4
71,True,4.0,4
72,True,5.0,5
73,True,4.0,4
74,True,4.0,4
75,True,4.0,4
76,True,6.0,6
77,True,6.0,6
78,True,6.0,6
79,True,4.0,4
80,True,4.0,4
81,True,4.0,4
82,True,4.0,4
83,True,4.0,4
84,True,4.0,4
85,True,4.0,4
86,True,4.0,4
87,True,8.0,8
88,True,11.0,11
89,True,4.0,4
90,True,8.0,8
91,True,4.0,4
92,True,4.0,4
93,True,4.0,4
94,True,6.0,6
95,True,4.0,4
96,True,4.0,4
97,True,4.0,4
98,True,4.0,4
99,True,4.0,4
